Comuna_Origen;Especialidad_Destino;Rango_Edad;Establecimiento_Destino;CIE-10;Observacion;Tipo_Especialidad
Casablanca;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital San José Casablanca;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Casablanca;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Algarrobo;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Algarrobo;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
Algarrobo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Algarrobo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Algarrobo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Algarrobo;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Cartagena;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Cartagena;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
Cartagena;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Cartagena;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Cartagena;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Cartagena;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
El Quisco;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
El Quisco;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
El Quisco;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Quisco;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Quisco;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Quisco;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
El Tabo;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
El Tabo;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
El Tabo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Tabo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Tabo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Tabo;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
San Antonio;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
San Antonio;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
San Antonio;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
San Antonio;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
San Antonio;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
San Antonio;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Santo Domingo;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Santo Domingo;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
Santo Domingo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K07.2 Anomalias de la relacion entre los arcos dentarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Santo Domingo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K01.0 Dientes incluidos;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Santo Domingo;Ortodoncia y Ortopedia Dento Máxilo Facial;4 a 12 años;Hospital Claudio Vicuña;K00.1 Dientes supernumerarios;Posterior a teleinterconsulta Hospital Digital.;Odontológica
Santo Domingo;Periodoncia;Desde 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Desde 20 años.;Odontológica
Navidad;Odontopediatría;< 20 años;Hospital Claudio Vicuña;Z75 Problemas relacionados con facilidades de atención médica u otros servicios de salud.;Para anestesia general. Menor de 20 años.;Odontológica
Navidad;Odontopediatría;< 15 años;Hospital Claudio Vicuña;Sin distinción.;;Odontológica
